Sentence #,Word,Tag
Sentence: 1,106,O
Sentence: 2,CORN,O
Sentence: 2,BREAD,O
Sentence: 2,1/2,B-qty
Sentence: 2,cup,B-unit
Sentence: 2,corn-meal,B-ing
Sentence: 2,1/2,B-qty
Sentence: 2,cake,B-unit
Sentence: 2,compressed,B-ing
Sentence: 2,yeast,B-ing
Sentence: 2,1,B-qty
Sentence: 2,3/4,I-qty
Sentence: 2,cups,B-unit
Sentence: 2,water,B-ing
Sentence: 2,1/3,B-qty
Sentence: 2,cup,B-unit
Sentence: 2,warm,O
Sentence: 2,water,B-ing
Sentence: 2,1,B-qty
Sentence: 2,1/2,I-qty
Sentence: 2,teaspoons,B-unit
Sentence: 2,salt,B-ing
Sentence: 2,2,B-qty
Sentence: 2,tablespoons,B-unit
Sentence: 2,sugar,B-ing
Sentence: 2,2,B-qty
Sentence: 2,3/4,I-qty
Sentence: 2,to,B-func
Sentence: 2,3,B-qty
Sentence: 2,cups,B-unit
Sentence: 2,flour,B-ing
Sentence: 2,1,B-qty
Sentence: 2,tablespoon,B-unit
Sentence: 2,shortening,B-ing
Sentence: 2,Cook,O
Sentence: 2,the,O
Sentence: 2,corn-meal,O
Sentence: 2,in,O
Sentence: 2,the,O
Sentence: 2,water,O
Sentence: 2,ten,O
Sentence: 2,minutes,O
Sentence: 2,;,O
Sentence: 2,add,O
Sentence: 2,salt,O
Sentence: 2,sugar,O
Sentence: 2,and,O
Sentence: 2,fat,O
Sentence: 2,to,O
Sentence: 2,the,O
Sentence: 2,mush,O
Sentence: 2,.,O
Sentence: 3,Cool,O
Sentence: 3,until,O
Sentence: 3,lukewarm,O
Sentence: 3,stirring,O
Sentence: 3,occasionally,O
Sentence: 3,to,O
Sentence: 3,prevent,O
Sentence: 3,a,O
Sentence: 3,film,O
Sentence: 3,.,O
Sentence: 4,When,O
Sentence: 4,cool,O
Sentence: 4,add,O
Sentence: 4,the,O
Sentence: 4,yeast,O
Sentence: 4,and,O
Sentence: 4,beat,O
Sentence: 4,well,O
Sentence: 4,.,O
Sentence: 5,Add,O
Sentence: 5,the,O
Sentence: 5,flour,O
Sentence: 5,and,O
Sentence: 5,mix,O
Sentence: 5,well,O
Sentence: 5,.,O
Sentence: 6,Knead,O
Sentence: 6,using,O
Sentence: 6,as,O
Sentence: 6,little,O
Sentence: 6,flour,O
Sentence: 6,on,O
Sentence: 6,the,O
Sentence: 6,board,O
Sentence: 6,as,O
Sentence: 6,possible,O
Sentence: 6,.,O
Sentence: 7,Put,O
Sentence: 7,into,O
Sentence: 7,a,O
Sentence: 7,greased,O
Sentence: 7,bowl,O
Sentence: 7,let,O
Sentence: 7,rise,O
Sentence: 7,until,O
Sentence: 7,it,O
Sentence: 7,almost,O
Sentence: 7,doubles,O
Sentence: 7,in,O
Sentence: 7,bulk,O
Sentence: 7,.,O
Sentence: 8,Work,O
Sentence: 8,it,O
Sentence: 8,down,O
Sentence: 8,and,O
Sentence: 8,let,O
Sentence: 8,it,O
Sentence: 8,rise,O
Sentence: 8,again,O
Sentence: 8,.,O
Sentence: 9,Mold,O
Sentence: 9,it,O
Sentence: 9,into,O
Sentence: 9,loaves,O
Sentence: 9,place,O
Sentence: 9,in,O
Sentence: 9,pan,O
Sentence: 9,and,O
Sentence: 9,let,O
Sentence: 9,rise,O
Sentence: 9,until,O
Sentence: 9,it,O
Sentence: 9,has,O
Sentence: 9,almost,O
Sentence: 9,doubled,O
Sentence: 9,in,O
Sentence: 9,bulk,O
Sentence: 9,.,O
Sentence: 10,Bake,O
Sentence: 10,in,O
Sentence: 10,a,O
Sentence: 10,moderate,O
Sentence: 10,oven,O
Sentence: 10,(,O
Sentence: 10,400°,O
Sentence: 10,to,O
Sentence: 10,350°,O
Sentence: 10,F.,O
Sentence: 10,),O
Sentence: 10,.,O
Sentence: 11,RAISIN,O
Sentence: 11,BREAD,O
Sentence: 11,2,B-qty
Sentence: 11,cups,B-unit
Sentence: 11,scalded,B-ing
Sentence: 11,milk,I-ing
Sentence: 11,1/2,B-qty
Sentence: 11,to,B-func
Sentence: 11,1,B-qty
Sentence: 11,yeast,B-cont
Sentence: 11,cake,I-cont
Sentence: 11,2,B-qty
Sentence: 11,tablespoons,B-unit
Sentence: 11,shortening,B-ing
Sentence: 11,1/2,B-qty
Sentence: 11,cup,B-unit
Sentence: 11,warm,O
Sentence: 11,water,B-ing
Sentence: 11,1/4,B-qty
Sentence: 11,cup,B-unit
Sentence: 11,molasses,B-ing
Sentence: 11,1,B-qty
Sentence: 11,1/2,I-qty
Sentence: 11,teaspoons,B-unit
Sentence: 11,salt,B-ing
Sentence: 11,3/4,B-qty
Sentence: 11,cup,B-unit
Sentence: 11,raisins,B-ing
Sentence: 11,chopped,O
Sentence: 11,and,O
Sentence: 11,floured,O
Sentence: 11,Follow,O
Sentence: 11,general,O
Sentence: 11,directions,O
Sentence: 11,for,O
Sentence: 11,making,O
Sentence: 11,bread,O
Sentence: 11,either,O
Sentence: 11,sponge,O
Sentence: 11,method,O
Sentence: 11,(,O
Sentence: 11,page,O
Sentence: 11,100,O
Sentence: 11,),O
Sentence: 11,or,O
Sentence: 11,straight,O
Sentence: 11,dough,O
Sentence: 11,method,O
Sentence: 11,(,O
Sentence: 11,page,O
Sentence: 11,100,O
Sentence: 11,),O
Sentence: 11,.,O
Sentence: 12,Add,O
Sentence: 12,raisins,O
Sentence: 12,after,O
Sentence: 12,the,O
Sentence: 12,bread,O
Sentence: 12,is,O
Sentence: 12,kneaded,O
Sentence: 12,.,O
Sentence: 13,GRAHAM,O
Sentence: 13,BREAD,O
Sentence: 13,2,B-qty
Sentence: 13,cups,B-unit
Sentence: 13,scalded,O
Sentence: 13,milk,B-ing
Sentence: 13,1/2,B-qty
Sentence: 13,to,B-func
Sentence: 13,1,B-qty
Sentence: 13,yeast,B-cont
Sentence: 13,cake,I-cont
Sentence: 13,softened,O
