,ingredient,count,logscore,softmax,
0,salt,2097,3.32159843,0.008644908,
1,sugar,2086,3.319314304,0.008625184,
2,flour,1526,3.183554534,0.007530237,
3,eggs,1398,3.145507171,0.007249114,
4,butter,1174,3.069668097,0.006719677,
5,milk,1086,3.035829825,0.006496099,
6,water,863,2.936010796,0.005878977,
7,vanilla,545,2.736396502,0.004815156,
8,egg,529,2.723455672,0.004753246,
9,pepper,487,2.687528961,0.004585508,
10,soda,478,2.679427897,0.004548511,
11,baking powder,400,2.602059991,0.004209871,
12,lemon,372,2.57054294,0.004079257,
13,nutmeg,317,2.501059262,0.003805439,
14,cream,300,2.477121255,0.003715426,
15,cinnamon,296,2.471291711,0.00369383,
16,raisins,264,2.421603927,0.003514777,
17,cloves,263,2.419955748,0.003508988,
18,crisco,262,2.418301291,0.003503188,
19,baking,255,2.40654018,0.003462228,
20,celery,241,2.382017043,0.003378356,
21,brown sugar,240,2.380211242,0.00337226,
22,molasses,238,2.376576957,0.003360027,
23,juice,214,2.330413773,0.003208443,
24,onion,205,2.311753861,0.003149129,
25,lard,200,2.301029996,0.003115539,
26,parsley,196,2.292256071,0.003088323,
27,fat,176,2.245512668,0.002947286,
28,shortening,169,2.227886705,0.002895792,
29,sour milk,166,2.220108088,0.002873354,
30,powder,160,2.204119983,0.00282778,
31,vinegar,156,2.193124598,0.002796858,
32,cayenne,156,2.193124598,0.002796858,
33,tomatoes,152,2.181843588,0.002765484,Logweight stopped here
34,onions,146,2.164352856,0.002717534,
35,paprika,137,2.136720567,0.00264347,
36,chocolate,135,2.130333768,0.002626641,
37,lemon juice,128,2.10720997,0.0025666,
38,whites,121,2.08278537,0.002504671,
39,powdered sugar,120,2.079181246,0.00249566,
40,corn,118,2.071882007,0.00247751,
41,citron,115,2.06069784,0.002449956,
42,currants,110,2.041392685,0.002403112,
43,allspice,108,2.033423755,0.002384038,
44,nuts,108,2.033423755,0.002384038,
45,yolks,103,2.012837225,0.002335461,
46,egg yolks,98,1.991226076,0.00228553,
47,cornstarch,97,1.986771734,0.002275372,
48,mushrooms,94,1.973127854,0.002244538,
49,sweet milk,91,1.959041392,0.002213142,
50,grated,90,1.954242509,0.002202547,
51,baking soda,87,1.939519253,0.002170356,
52,ginger,86,1.934498451,0.002159487,
53,egg whites,82,1.913813852,0.002115277,
54,lettuce,82,1.913813852,0.002115277,
55,pineapple,79,1.897627091,0.002081313,
56,vittucci,78,1.892094603,0.00206983,
57,cake flour,78,1.892094603,0.00206983,Stopped here
58,granulated sugar,75,1.875061263,0.002034873,
59,lemons,74,1.86923172,0.002023045,
60,olive oil,73,1.86332286,0.002011126,
61,potatoes,73,1.86332286,0.002011126,
62,crumbs,70,1.84509804,0.001974806,
63,yeast,69,1.838849091,0.001962504,
64,cream of tartar,68,1.832508913,0.001950101,
65,mustard,67,1.826074803,0.001937594,
66,gelatine,64,1.806179974,0.001899426,
67,powdered,63,1.799340549,0.00188648,
68,oranges,62,1.792391689,0.001873416,
69,sour cream,61,1.785329835,0.001860233,
70,green,60,1.77815125,0.001846927,
71,grated cheese,60,1.77815125,0.001846927,
72,bread,60,1.77815125,0.001846927,
73,coffee,59,1.770852012,0.001833495,
74,white,59,1.770852012,0.001833495,
75,ammonia,58,1.763427994,0.001819934,
76,peppers,58,1.763427994,0.001819934,
77,bread crumbs,58,1.763427994,0.001819934,
78,garlic,57,1.755874856,0.001806239,
79,rice,57,1.755874856,0.001806239,
80,almonds,56,1.748188027,0.001792408,
81,virgin,54,1.73239376,0.001764321,
82,tartar,52,1.716003344,0.001735639,
83,apples,50,1.698970004,0.001706325,
84,orange,50,1.698970004,0.001706325,
85,cherries,49,1.69019608,0.001691419,
86,fun wine,48,1.681241237,0.001676341,
87,water chestnuts,48,1.681241237,0.001676341,
88,bamboo shoots,48,1.681241237,0.001676341,
89,brandy,47,1.672097858,0.001661083,
90,cocoa,47,1.672097858,0.001661083,
91,knox gelatine,46,1.662757832,0.001645641,
92,chicken,45,1.653212514,0.001630007,
93,gelatin,44,1.643452676,0.001614176,
94,vanilla extract,43,1.633468456,0.00159814,
95,green pepper,43,1.633468456,0.00159814,
96,white sugar,42,1.62324929,0.001581892,
97,whipped cream,42,1.62324929,0.001581892,
98,salt pork,42,1.62324929,0.001581892,
99,dates,42,1.62324929,0.001581892,
100,graham flour,42,1.62324929,0.001581892,
101,suet,41,1.612783857,0.001565423,
102,stock,41,1.612783857,0.001565423,
103,bay,41,1.612783857,0.001565423,
104,mayonnaise,41,1.612783857,0.001565423,
105,carrot,39,1.591064607,0.001531789,
106,buttermilk,38,1.579783597,0.001514606,
107,oil,38,1.579783597,0.001514606,
108,starch,38,1.579783597,0.001514606,
109,cocoanut,37,1.568201724,0.001497166,
110,red,37,1.568201724,0.001497166,
111,marshmallows,37,1.568201724,0.001497166,
112,mace,37,1.568201724,0.001497166,
113,sesamum,36,1.556302501,0.001479456,
114,lemon extract,36,1.556302501,0.001479456,
115,cucumbers,36,1.556302501,0.001479456,
116,ground,36,1.556302501,0.001479456,
117,orange juice,36,1.556302501,0.001479456,
118,carrots,36,1.556302501,0.001479456,
119,cornmeal,35,1.544068044,0.001461466,
120,thyme,35,1.544068044,0.001461466,
121,pork,34,1.531478917,0.001443183,
122,celery seed,34,1.531478917,0.001443183,
123,veal,34,1.531478917,0.001443183,
124,nut meats,34,1.531478917,0.001443183,
125,peppercorns,34,1.531478917,0.001443183,
126,walnuts,34,1.531478917,0.001443183,
127,leaf,33,1.51851394,0.001424593,
128,olive,32,1.505149978,0.001405681,
129,heavy cream,32,1.505149978,0.001405681,
130,whipping cream,32,1.505149978,0.001405681,
131,rind,32,1.505149978,0.001405681,
132,thick,32,1.505149978,0.001405681,
133,pecans,31,1.491361694,0.001386432,
