,ingredient,count,logscore,softmax
0,salt,2097,11.03411115,0.1494645494088789
1,sugar,2086,11.02652344,0.14833474747792286
2,flour,1526,10.57553925,0.09448936958534455
3,eggs,1398,10.44914865,0.08327069920147284
4,butter,1174,10.19721669,0.06472611660482103
5,milk,1086,10.08480839,0.05784439017408735
6,water,863,9.753216749,0.041519568076084166
7,vanilla,545,9.09011242,0.021392930286689742
8,egg,529,9.047123912,0.020492767090056246
9,pepper,487,8.927777962,0.0181873454811115
10,soda,478,8.900866808,0.01770443007544732
11,baking powder,400,8.64385619,0.013691898081838318
12,lemon,372,8.539158811,0.01233088262329035
13,nutmeg,317,8.30833903,0.009789272243045323
14,cream,300,8.22881869,0.009040972779908885
15,cinnamon,296,8.209453366,0.008867575776180102
16,raisins,264,8.044394119,0.007518316220268834
17,cloves,263,8.038918989,0.007477264944666678
18,crisco,262,8.033423002,0.0074362827157924
19,baking,255,7.994353437,0.0071513526741733046
20,celery,241,7.912889336,0.006591872316863358
21,brown sugar,240,7.906890596,0.006552447755790985
22,molasses,238,7.894817763,0.006473816752836079
23,juice,214,7.741466986,0.00555342621328311
24,onion,205,7.6794801,0.0052196387108150635
25,lard,200,7.64385619,0.005036967814923028
26,parsley,196,7.614709844,0.0048922774487772085
27,fat,176,7.459431619,0.004188655108890788
28,shortening,169,7.400879436,0.003950442203940411
29,sour milk,166,7.375039431,0.0038496703375060413
30,powder,160,7.321928095,0.0036505439431498837
31,vinegar,156,7.285402219,0.0035196104152947385
32,cayenne,156,7.285402219,0.0035196104152947385
33,tomatoes,152,7.247927513,0.0033901548540563545
34,onions,146,7.189824559,0.0031987901046430425
35,paprika,137,7.098032083,0.002918238468444333
36,chocolate,135,7.076815597,0.0028569758892018613
37,lemon juice,128,7.0,0.002645732823899721
38,whites,121,6.918863237,0.0024395444572138454
39,powdered sugar,120,6.906890596,0.0024105108187054587
40,corn,118,6.882643049,0.0023527647735634835
41,citron,115,6.845490051,0.002266956398043808
42,currants,110,6.781359714,0.0021261393024050806
43,allspice,108,6.754887502,0.002070594137439507
44,nuts,108,6.754887502,0.002070594137439507
45,yolks,103,6.686500527,0.0019337258110786331
46,egg yolks,98,6.614709844,0.0017997682939118092
47,cornstarch,97,6.599912842,0.001773333181405265
48,mushrooms,94,6.554588852,0.0016947528839293435
49,sweet milk,91,6.50779464,0.0016172751501631235
50,grated,90,6.491853096,0.0015916977008834004
51,baking soda,87,6.442943496,0.0015157215299988083
52,ginger,86,6.426264755,0.0014906508579726509
53,egg whites,82,6.357552005,0.0013916639144773897
54,lettuce,82,6.357552005,0.0013916639144773897
55,pineapple,79,6.303780748,0.0013188087077964793
56,vittucci,78,6.285402219,0.0012947923127198165
57,cake flour,78,6.285402219,0.0012947923127198165
58,granulated sugar,75,6.22881869,0.0012235626119034735
59,lemons,74,6.209453366,0.00120009587929146
60,olive oil,73,6.189824559,0.001176769116120822
61,potatoes,73,6.189824559,0.001176769116120822
62,crumbs,70,6.129283017,0.0011076394220651939
63,yeast,69,6.108524457,0.001084883430628326
64,cream of tartar,68,6.087462841,0.0010622729745903125
65,mustard,67,6.06608919,0.001039809243909088
66,gelatine,64,6.0,0.0009733107127451714
67,powdered,63,5.977279923,0.000951446339061346
68,oranges,62,5.95419631,0.0009297350712995243
69,sour cream,61,5.930737338,0.0009081782809564118
70,green,60,5.906890596,0.0008867773729230801
71,grated cheese,60,5.906890596,0.0008867773729230801
72,bread,60,5.906890596,0.0008867773729230801
73,coffee,59,5.882643049,0.0008655337901063892
74,white,59,5.882643049,0.0008655337901063892
75,ammonia,58,5.857980995,0.0008444490146371389
76,peppers,58,5.857980995,0.0008444490146371389
77,bread crumbs,58,5.857980995,0.0008444490146371389
78,garlic,57,5.832890014,0.0008235245656811668
79,rice,57,5.832890014,0.0008235245656811668
80,almonds,56,5.807354922,0.0008027620052354701
81,virgin,54,5.754887502,0.0007617290141741105
82,tartar,52,5.700439718,0.0007213634371459056
83,apples,50,5.64385619,0.0006816794658863101
84,orange,50,5.64385619,0.0006816794658863101
85,cherries,49,5.614709844,0.0006620977542023564
86,fun wine,48,5.584962501,0.0006426921685018122
87,water chestnuts,48,5.584962501,0.0006426921685018122
88,bamboo shoots,48,5.584962501,0.0006426921685018122
89,brandy,47,5.554588852,0.0006234647438636171
90,cocoa,47,5.554588852,0.0006234647438636171
91,knox gelatine,46,5.523561956,0.0006044175832159415
92,chicken,45,5.491853096,0.000585552860714855
93,gelatin,44,5.459431619,0.0005668728255422197
94,vanilla extract,43,5.426264755,0.0005483798046127099
95,green pepper,43,5.426264755,0.0005483798046127099
96,white sugar,42,5.392317423,0.0005300762101759851
97,whipped cream,42,5.392317423,0.0005300762101759851
98,salt pork,42,5.392317423,0.0005300762101759851
99,dates,42,5.392317423,0.0005300762101759851
100,graham flour,42,5.392317423,0.0005300762101759851
101,suet,41,5.357552005,0.000511964543156404
102,stock,41,5.357552005,0.000511964543156404
103,bay,41,5.357552005,0.000511964543156404
104,mayonnaise,41,5.357552005,0.000511964543156404
105,carrot,39,5.285402219,0.00047632747243644546
106,buttermilk,38,5.247927513,0.00045880756738969413
107,oil,38,5.247927513,0.00045880756738969413
108,starch,38,5.247927513,0.00045880756738969413
109,cocoanut,37,5.209453366,0.0004414906014258929
110,red,37,5.209453366,0.0004414906014258929
111,marshmallows,37,5.209453366,0.0004414906014258929
112,mace,37,5.209453366,0.0004414906014258929
113,sesamum,36,5.169925001,0.0004243796124215196
114,lemon extract,36,5.169925001,0.0004243796124215196
115,cucumbers,36,5.169925001,0.0004243796124215196
116,ground,36,5.169925001,0.0004243796124215196
117,orange juice,36,5.169925001,0.0004243796124215196
118,carrots,36,5.169925001,0.0004243796124215196
119,cornmeal,35,5.129283017,0.00040747777160880284
120,thyme,35,5.129283017,0.00040747777160880284
121,pork,34,5.087462841,0.0003907883882638099
122,celery seed,34,5.087462841,0.0003907883882638099
123,veal,34,5.087462841,0.0003907883882638099
124,nut meats,34,5.087462841,0.0003907883882638099
125,peppercorns,34,5.087462841,0.0003907883882638099
126,walnuts,34,5.087462841,0.0003907883882638099
127,leaf,33,5.044394119,0.0003743149236697449
128,olive,32,5.0,0.00035806100109087187
129,heavy cream,32,5.0,0.00035806100109087187
130,whipping cream,32,5.0,0.00035806100109087187
131,rind,32,5.0,0.00035806100109087187
132,thick,32,5.0,0.00035806100109087187
133,pecans,31,4.95419631,0.0003420304184671601
134,meal,31,4.95419631,0.0003420304184671601
135,whites of,30,4.906890596,0.0003262271643944224
136,nut,30,4.906890596,0.0003262271643944224
137,hard,30,4.906890596,0.0003262271643944224
138,salmon,29,4.857980995,0.0003106554316024858
139,figs,29,4.857980995,0.0003106554316024858
140,whole,29,4.857980995,0.0003106554316024858
141,white flour,29,4.857980995,0.0003106554316024858
142,horseradish,28,4.807354922,0.00029531963787969123
143,turnip,28,4.807354922,0.00029531963787969123
144,cheese,27,4.754887502,0.0002802244440584455
145,breadcrumbs,26,4.700439718,0.0002653747781387466
146,peaches,26,4.700439718,0.0002653747781387466
147,tarragon,26,4.700439718,0.0002653747781387466
148,currant,26,4.700439718,0.0002653747781387466
149,grape juice,25,4.64385619,0.00025077586096830306
150,strawberries,25,4.64385619,0.00025077586096830306
151,sweet,25,4.64385619,0.00025077586096830306
152,knox sparkling gelatine,24,4.584962501,0.0002364332357937091
153,knox,24,4.584962501,0.0002364332357937091
154,chinese ham,24,4.584962501,0.0002364332357937091
155,chinese sauce,24,4.584962501,0.0002364332357937091
156,primary soup,24,4.584962501,0.0002364332357937091
157,granulated,24,4.584962501,0.0002364332357937091
158,maraschino cherries,24,4.584962501,0.0002364332357937091
159,cream tartar,24,4.584962501,0.0002364332357937091
160,dry mustard,24,4.584962501,0.0002364332357937091
161,apricots,24,4.584962501,0.0002364332357937091
162,honey,24,4.584962501,0.0002364332357937091
163,corn starch,23,4.523561956,0.00022235280274767426
164,white sauce,23,4.523561956,0.00022235280274767426
165,yolk,23,4.523561956,0.00022235280274767426
166,rum,22,4.459431619,0.00020854085827574828
167,almond extract,22,4.459431619,0.00020854085827574828
168,ham,22,4.459431619,0.00020854085827574828
169,onion juice,22,4.459431619,0.00020854085827574828
170,prunes,22,4.459431619,0.00020854085827574828
171,sirup,22,4.459431619,0.00020854085827574828
172,candied,21,4.392317423,0.0001950041399778174
173,cider,21,4.392317423,0.0001950041399778174
174,bananas,21,4.392317423,0.0001950041399778174
175,cauliflower,21,4.392317423,0.0001950041399778174
176,egg yolk,20,4.321928095,0.00018174988087749487
177,dark molasses,20,4.321928095,0.00018174988087749487
178,green tomatoes,20,4.321928095,0.00018174988087749487
179,cracker crumbs,20,4.321928095,0.00018174988087749487
180,meringue,20,4.321928095,0.00018174988087749487
181,beef,20,4.321928095,0.00018174988087749487
182,sage,20,4.321928095,0.00018174988087749487
183,olives,20,4.321928095,0.00018174988087749487
184,apricot,19,4.247927513,0.0001687858714965495
185,maple sugar,19,4.247927513,0.0001687858714965495
186,fresh,19,4.247927513,0.0001687858714965495
187,oysters,19,4.247927513,0.0001687858714965495
188,pike,18,4.169925001,0.0001561205346621819
189,cinna,18,4.169925001,0.0001561205346621819
190,icing,18,4.169925001,0.0001561205346621819
191,powdered ginger,18,4.169925001,0.0001561205346621819
192,caramel,18,4.169925001,0.0001561205346621819
193,strong,18,4.169925001,0.0001561205346621819
194,#NAME?,18,4.169925001,0.0001561205346621819
195,mashed potatoes,18,4.169925001,0.0001561205346621819
196,apple,18,4.169925001,0.0001561205346621819
197,stale,18,4.169925001,0.0001561205346621819
198,sherry wine,17,4.087462841,0.00014376301389077903
199,cold,17,4.087462841,0.00014376301389077903
200,candies,17,4.087462841,0.00014376301389077903
201,lemon rind,17,4.087462841,0.00014376301389077903
202,spinach,17,4.087462841,0.00014376301389077903
203,boiled rice,17,4.087462841,0.00014376301389077903
204,bacon,17,4.087462841,0.00014376301389077903
205,worcestershire sauce,16,4.0,0.00013172328098659715
206,bean sprouts,16,4.0,0.00013172328098659715
207,corn meal,16,4.0,0.00013172328098659715
208,green peppers,16,4.0,0.00013172328098659715
209,ripe,16,4.0,0.00013172328098659715
210,cranberries,16,4.0,0.00013172328098659715
211,sherry,16,4.0,0.00013172328098659715
212,meringues,16,4.0,0.00013172328098659715
213,medium,16,4.0,0.00013172328098659715
214,unsweetened,16,4.0,0.00013172328098659715
215,ground cloves,16,4.0,0.00013172328098659715
216,brown stock,16,4.0,0.00013172328098659715
217,salad oil,16,4.0,0.00013172328098659715
